SM114_b,raw/Run_7_2018_12/SM114_1.fq.gz,raw/Run_7_2018_12/SM114_2.fq.gz
SM117,raw/Run5_2017-06-22_FC633/SM-L_3-11_S11_R1_001.fastq.gz,raw/Run5_2017-06-22_FC633/SM-L_3-11_S11_R2_001.fastq.gz
SM119,raw/Run5_2017-06-22_FC633/SM-L_3-38_S38_R1_001.fastq.gz,raw/Run5_2017-06-22_FC633/SM-L_3-38_S38_R2_001.fastq.gz
SM119_b,raw/Run_6_2018_7/SM119_R1.fq.gz,raw/Run_6_2018_7/SM119_R2.fq.gz
SM12,raw/Run_7_2018_12/SM12_1.fq.gz,raw/Run_7_2018_12/SM12_1.fq.gz
SM122,raw/Run5_2017-06-22_FC633/SM-L_3-30_S30_R1_001.fastq.gz,raw/Run5_2017-06-22_FC633/SM-L_3-30_S30_R2_001.fastq.gz
SM123,raw/Run5_2017-06-22_FC633/SM-L_3-33_S33_R1_001.fastq.gz,raw/Run5_2017-06-22_FC633/SM-L_3-33_S33_R2_001.fastq.gz
SM129,raw/Run_6_2018_7/SM129_R1.fq.gz,raw/Run_6_2018_7/SM129_R2.fq.gz
SM13,raw/Run1_2016-07-26/flowcell493_lane1_pair1_CTTGTA.fastq.gz,raw/Run1_2016-07-26/flowcell493_lane1_pair2_CTTGTA.fastq.gz
SM130,raw/Run5_2017-06-22_FC633/SM-L_3-37_S37_R1_001.fastq.gz,raw/Run5_2017-06-22_FC633/SM-L_3-37_S37_R2_001.fastq.gz
SM131,raw/Run_6_2018_7/SM131_R1.fq.gz,raw/Run_6_2018_7/SM131_R2.fq.gz
SM132,raw/Run_6_2018_7/SM132_R1.fq.gz,raw/Run_6_2018_7/SM132_R2.fq.gz
SM133,raw/Run_6_2018_7/SM133_R1.fq.gz,raw/Run_6_2018_7/SM133_R2.fq.gz
SM134,raw/Run_6_2018_7/SM134_R1.fq.gz,raw/Run_6_2018_7/SM134_R2.fq.gz
SM135,raw/Run_7_2018_12/SM135_1.fq.gz,raw/Run_7_2018_12/SM135_2.fq.gz
SM136,raw/Run_6_2018_7/SM136_R1.fq.gz,raw/Run_6_2018_7/SM136_R2.fq.gz
SM137,raw/Run_6_2018_7/SM137_R1.fq.gz,raw/Run_6_2018_7/SM137_R2.fq.gz
SM138,raw/Run_6_2018_7/SM138_R1.fq.gz,raw/Run_6_2018_7/SM138_R2.fq.gz
SM139,raw/Run_6_2018_7/SM139_R1.fq.gz,raw/Run_6_2018_7/SM139_R2.fq.gz
