No.,NRRL # or orig ident,Location,Region,GPS,Host/Substrate,Fungicide,Date Collected,Notes,Mating Type,Date of ITS confirmation,Date of DNA Extraction,Sterile Water Tube Date,Glycerol Tubes Date,Race Tubes Date
SM048,,Tejada,NorCal,"36.679051,-121.7304",Del rey,,7/28/2016,,plus,,,9/15/2016,,
SM049,,Florencio Trejo,NorCal,"36.844183, -121.745018",Cabrillo,,7/28/2016,,plus,,,9/15/2016,,
SM050,,Ramberto Castillas,NorCal,"36.681090,-121.561483",Del Rey,,7/28/2016,,plus,,,9/15/2016,,
SM051,,Eduardo Ortrega,NorCal,"36.828106,-121.781894",San Andreas,,7/28/2016,,,,,9/15/2016,,
SM052,,Charity Farms,NorCal,"36.736882,-121.661620",Sweet Ann,,7/28/2016,,plus,,,9/15/2016,,
SM053,,Felix Cisneroz,NorCal,"36.609264,-121.536049",Sweet Ann,,7/28/2016,,plus,,,9/15/2016,,
SM054,,Skakihara,NorCal,"36.861135,-121768080",Monterrey,,7/28/2016,,,,,9/15/2016,,
SM055,,Florencio Trejo,NorCal,"36.8437726,-121.743028",Cabrillo,,7/28/2016,,,,,9/15/2016,,
SM056,,Eduardo Ortrega,NorCal,"36.829340,-121.781894",Monterrey,,7/28/2016,,,,,9/15/2016,,
SM057,,Rocha Brothers,NorCal,"36.741496,-1216685668",Monterrey,,7/28/2016,,plus,,,9/15/2016,,
SM058,,Mike Ortiz,NorCal,"36.626480,-121.544664",Monterrey,,7/28/2016,,,,,9/15/2016,,
SM059,,Simon Mrquez,NorCal,"36.653824,-121.585261",Maresa,,7/28/2016,,,,,9/15/2016,,
SM060,,Simon Mrquez,NorCal,"36.653824,-121.585262",162 Sur,,7/28/2016,,,,,9/16/2016,,
SM061,,Juan Silva,NorCal,"36.11456,-121.536925",San Andreas,,7/28/2016,,,,,9/16/2016,,
SM062,,Jose Rocha,NorCal,"36.688662,-121.581620",Sweet Ann,,7/28/2016,,,,,9/16/2016,,
SM063,,Jose Rocha,NorCal,"36.688662,-121.581620",Cabrillo,,7/28/2016,,,,,9/16/2016,,
SM064,,Ramberto Castillas,NorCal,"36.681090,-121.561483",Maresa,,7/28/2016,,,,,9/16/2016,,
SM065,,Antonio Molina,NorCal,"36.894974,-121777754",Monterrey,,7/28/2016,,UNKNOWN,,,9/16/2016,,
SM066,,Valente Solorio,NorCal,"36.895053,-121776544",Monterrey,,7/28/2016,,UNKNOWN,,,9/16/2016,,
SM067,,Ramberto Castillas,NorCal,"36.681090,-121.561483",Big Sur,,7/28/2016,,UNKNOWN,,,9/16/2016,,
SM068,,Juan Silva,NorCal,"36.11456,-121.536925",Monterrey,,7/28/2016,,,,,9/16/2016,,
SM069,,Pedro Casillas,NorCal,"36.635546,-121.556993",Del Rey,,7/28/2016,,,,,9/16/2016,,
